station,valid,drct,sknt,sped,gust,gust_mph
CHS,2024-01-01 00:56,240.00,6.00,6.90,null,null
CHS,2024-01-01 01:56,230.00,5.00,5.75,null,null
CHS,2024-01-01 02:56,230.00,5.00,5.75,null,null
CHS,2024-01-01 03:56,230.00,4.00,4.60,null,null
CHS,2024-01-01 04:56,240.00,5.00,5.75,null,null
CHS,2024-01-01 05:56,230.00,4.00,4.60,null,null
CHS,2024-01-01 06:56,220.00,4.00,4.60,null,null
CHS,2024-01-01 07:56,220.00,6.00,6.90,null,null
CHS,2024-01-01 08:56,250.00,8.00,9.20,null,null
CHS,2024-01-01 09:56,240.00,6.00,6.90,null,null
CHS,2024-01-01 10:56,280.00,7.00,8.05,null,null
CHS,2024-01-01 11:56,250.00,6.00,6.90,null,null
CHS,2024-01-01 12:56,250.00,10.00,11.50,null,null
CHS,2024-01-01 13:56,250.00,10.00,11.50,18.00,20.70
CHS,2024-01-01 14:56,240.00,13.00,14.95,null,null
CHS,2024-01-01 15:56,180.00,11.00,12.65,null,null
CHS,2024-01-01 16:56,190.00,11.00,12.65,null,null
CHS,2024-01-01 17:56,200.00,5.00,5.75,null,null
CHS,2024-01-01 18:56,280.00,5.00,5.75,null,null
CHS,2024-01-01 19:56,350.00,13.00,14.95,18.00,20.70
CHS,2024-01-01 20:56,360.00,10.00,11.50,null,null
CHS,2024-01-01 21:56,360.00,11.00,12.65,null,null
CHS,2024-01-01 22:56,10.00,11.00,12.65,22.00,25.30
CHS,2024-01-01 23:56,350.00,10.00,11.50,null,null
CHS,2024-01-02 00:56,350.00,10.00,11.50,null,null
CHS,2024-01-02 01:56,360.00,8.00,9.20,null,null
CHS,2024-01-02 02:56,360.00,8.00,9.20,null,null
CHS,2024-01-02 03:56,350.00,8.00,9.20,null,null
CHS,2024-01-02 04:56,340.00,7.00,8.05,null,null
CHS,2024-01-02 05:56,340.00,6.00,6.90,null,null
CHS,2024-01-02 06:56,330.00,5.00,5.75,null,null
CHS,2024-01-02 07:56,320.00,4.00,4.60,null,null
CHS,2024-01-02 08:56,20.00,10.00,11.50,null,null
CHS,2024-01-02 09:56,10.00,11.00,12.65,null,null
CHS,2024-01-02 10:56,360.00,12.00,13.80,15.00,17.25
CHS,2024-01-02 11:56,340.00,7.00,8.05,null,null
CHS,2024-01-02 12:56,300.00,6.00,6.90,null,null
