station,valid,drct,sknt,sped
MYR,2024-01-01 00:56,240.00,4.00,4.60
MYR,2024-01-01 01:56,250.00,6.00,6.90
MYR,2024-01-01 02:56,240.00,5.00,5.75
MYR,2024-01-01 03:56,260.00,7.00,8.05
MYR,2024-01-01 04:56,260.00,7.00,8.05
MYR,2024-01-01 05:56,260.00,8.00,9.20
MYR,2024-01-01 06:56,260.00,9.00,10.35
MYR,2024-01-01 07:56,250.00,7.00,8.05
MYR,2024-01-01 08:56,250.00,9.00,10.35
MYR,2024-01-01 09:56,260.00,9.00,10.35
MYR,2024-01-01 10:56,250.00,7.00,8.05
MYR,2024-01-01 11:56,250.00,6.00,6.90
MYR,2024-01-01 12:56,180.00,9.00,10.35
MYR,2024-01-01 13:56,180.00,9.00,10.35
MYR,2024-01-01 14:56,180.00,8.00,9.20
MYR,2024-01-01 15:56,190.00,10.00,11.50
MYR,2024-01-01 16:56,190.00,3.00,3.45
MYR,2024-01-01 17:56,340.00,13.00,14.95
MYR,2024-01-01 18:08,340.00,7.00,8.05
MYR,2024-01-01 18:56,340.00,7.00,8.05
MYR,2024-01-01 19:56,340.00,11.00,12.65
MYR,2024-01-01 20:56,350.00,12.00,13.80
MYR,2024-01-01 21:56,340.00,16.00,18.40
MYR,2024-01-01 22:56,350.00,12.00,13.80
MYR,2024-01-01 23:56,350.00,12.00,13.80
MYR,2024-01-02 00:56,340.00,13.00,14.95
MYR,2024-01-02 01:56,340.00,12.00,13.80
MYR,2024-01-02 02:56,340.00,12.00,13.80
MYR,2024-01-02 03:56,330.00,11.00,12.65
MYR,2024-01-02 04:56,340.00,11.00,12.65
MYR,2024-01-02 05:56,330.00,10.00,11.50
MYR,2024-01-02 06:56,320.00,9.00,10.35
MYR,2024-01-02 07:56,320.00,6.00,6.90
MYR,2024-01-02 08:56,360.00,11.00,12.65
MYR,2024-01-02 09:56,350.00,11.00,12.65
MYR,2024-01-02 10:56,350.00,14.00,16.10
MYR,2024-01-02 11:56,340.00,9.00,10.35
MYR,2024-01-02 12:56,340.00,9.00,10.35
MYR,2024-01-02 13:56,300.00,9.00,10.35
MYR,2024-01-02 14:56,310.00,9.00,10.35
MYR,2024-01-02 15:56,300.00,8.00,9.20
MYR,2024-01-02 16:56,300.00,8.00,9.20
MYR,2024-01-02 17:56,310.00,3.00,3.45
MYR,2024-01-02 18:56,0.00,0.00,0.00
MYR,2024-01-02 19:56,0.00,0.00,0.00
MYR,2024-01-02 20:56,0.00,0.00,0.00
MYR,2024-01-02 21:56,0.00,0.00,0.00
MYR,2024-01-02 22:56,0.00,0.00,0.00
MYR,2024-01-02 23:56,250.00,5.00,5.75
MYR,2024-01-03 00:56,290.00,3.00,3.45
MYR,2024-01-03 01:56,250.00,5.00,5.75
MYR,2024-01-03 02:56,260.00,5.00,5.75
MYR,2024-01-03 03:56,0.00,0.00,0.00
MYR,2024-01-03 04:56,0.00,0.00,0.00
MYR,2024-01-03 05:56,0.00,0.00,0.00
MYR,2024-01-03 06:56,0.00,0.00,0.00
MYR,2024-01-03 07:56,0.00,0.00,0.00
MYR,2024-01-03 08:56,270.00,4.00,4.60
MYR,2024-01-03 09:56,270.00,4.00,4.60
MYR,2024-01-03 10:56,260.00,5.00,5.75
MYR,2024-01-03 11:56,210.00,6.00,6.90
MYR,2024-01-03 12:56,180.00,7.00,8.05
MYR,2024-01-03 13:56,190.00,6.00,6.90
MYR,2024-01-03 14:56,220.00,4.00,4.60
MYR,2024-01-03 15:56,260.00,5.00,5.75
MYR,2024-01-03 16:56,0.00,0.00,0.00
MYR,2024-01-03 17:56,0.00,0.00,0.00
MYR,2024-01-03 18:56,0.00,0.00,0.00
MYR,2024-01-03 19:56,0.00,0.00,0.00
MYR,2024-01-03 20:56,0.00,0.00,0.00
MYR,2024-01-03 21:56,290.00,6.00,6.90
MYR,2024-01-03 22:56,310.00,9.00,10.35
MYR,2024-01-03 23:56,310.00,5.00,5.75
MYR,2024-01-04 00:56,0.00,0.00,0.00
MYR,2024-01-04 01:56,0.00,0.00,0.00
MYR,2024-01-04 02:56,0.00,0.00,0.00
MYR,2024-01-04 03:56,290.00,4.00,4.60
MYR,2024-01-04 04:56,280.00,5.00,5.75
MYR,2024-01-04 05:56,260.00,3.00,3.45
MYR,2024-01-04 06:56,300.00,5.00,5.75
MYR,2024-01-04 07:56,310.00,8.00,9.20
MYR,2024-01-04 08:56,320.00,11.00,12.65
MYR,2024-01-04 09:56,350.00,10.00,11.50
MYR,2024-01-04 10:56,350.00,14.00,16.10
MYR,2024-01-04 11:56,330.00,15.00,17.25
MYR,2024-01-04 12:56,340.00,18.00,20.70
MYR,2024-01-04 13:56,340.00,13.00,14.95
MYR,2024-01-04 14:56,340.00,14.00,16.10
MYR,2024-01-04 15:56,350.00,9.00,10.35
MYR,2024-01-04 16:56,340.00,9.00,10.35
MYR,2024-01-04 17:56,10.00,5.00,5.75
MYR,2024-01-04 18:56,320.00,3.00,3.45
MYR,2024-01-04 19:56,20.00,3.00,3.45
MYR,2024-01-04 20:56,10.00,3.00,3.45
MYR,2024-01-04 21:56,360.00,7.00,8.05
MYR,2024-01-04 22:56,10.00,7.00,8.05
MYR,2024-01-04 23:56,360.00,7.00,8.05
MYR,2024-01-05 00:56,360.00,6.00,6.90
MYR,2024-01-05 01:56,10.00,6.00,6.90
MYR,2024-01-05 02:56,20.00,4.00,4.60
MYR,2024-01-05 03:56,10.00,3.00,3.45
MYR,2024-01-05 04:56,330.00,4.00,4.60
MYR,2024-01-05 05:56,350.00,5.00,5.75
MYR,2024-01-05 06:56,340.00,5.00,5.75
MYR,2024-01-05 07:56,20.00,4.00,4.60
MYR,2024-01-05 08:56,20.00,5.00,5.75
MYR,2024-01-05 09:56,null,6.00,6.90
MYR,2024-01-05 10:56,80.00,6.00,6.90
MYR,2024-01-05 11:56,100.00,7.00,8.05
MYR,2024-01-05 12:56,90.00,8.00,9.20
MYR,2024-01-05 13:56,80.00,7.00,8.05
MYR,2024-01-05 14:56,90.00,7.00,8.05
MYR,2024-01-05 15:56,null,6.00,6.90
MYR,2024-01-05 16:56,null,4.00,4.60
MYR,2024-01-05 17:56,null,3.00,3.45
MYR,2024-01-05 18:56,null,4.00,4.60
MYR,2024-01-05 19:56,70.00,5.00,5.75
MYR,2024-01-05 20:18,60.00,4.00,4.60
MYR,2024-01-05 20:36,null,5.00,5.75
MYR,2024-01-05 20:56,null,6.00,6.90
MYR,2024-01-05 21:56,60.00,5.00,5.75
MYR,2024-01-05 22:56,70.00,5.00,5.75
MYR,2024-01-05 23:56,60.00,7.00,8.05
MYR,2024-01-06 00:56,60.00,8.00,9.20
MYR,2024-01-06 01:56,50.00,6.00,6.90
MYR,2024-01-06 02:56,30.00,5.00,5.75
MYR,2024-01-06 03:56,70.00,6.00,6.90
MYR,2024-01-06 04:56,80.00,6.00,6.90
MYR,2024-01-06 05:56,110.00,12.00,13.80
MYR,2024-01-06 06:56,100.00,8.00,9.20
MYR,2024-01-06 07:56,110.00,10.00,11.50
MYR,2024-01-06 08:56,140.00,23.00,26.45
MYR,2024-01-06 09:36,140.00,19.00,21.85
MYR,2024-01-06 09:56,140.00,16.00,18.40
MYR,2024-01-06 10:27,150.00,20.00,23.00
MYR,2024-01-06 10:49,150.00,22.00,25.30
MYR,2024-01-06 10:56,150.00,20.00,23.00
MYR,2024-01-06 11:09,160.00,19.00,21.85
MYR,2024-01-06 11:56,160.00,14.00,16.10
MYR,2024-01-06 12:20,170.00,15.00,17.25
MYR,2024-01-06 12:56,180.00,16.00,18.40
MYR,2024-01-06 13:08,190.00,13.00,14.95
MYR,2024-01-06 13:20,200.00,14.00,16.10
MYR,2024-01-06 13:53,190.00,9.00,10.35
MYR,2024-01-06 13:56,180.00,7.00,8.05
MYR,2024-01-06 14:56,190.00,8.00,9.20
MYR,2024-01-06 15:51,250.00,9.00,10.35
MYR,2024-01-06 15:56,250.00,8.00,9.20
MYR,2024-01-06 16:56,180.00,7.00,8.05
MYR,2024-01-06 17:56,300.00,9.00,10.35
MYR,2024-01-06 18:56,300.00,10.00,11.50
MYR,2024-01-06 19:56,300.00,8.00,9.20
MYR,2024-01-06 20:56,290.00,3.00,3.45
MYR,2024-01-06 21:56,290.00,10.00,11.50
MYR,2024-01-06 22:56,290.00,5.00,5.75
MYR,2024-01-06 23:43,290.00,7.00,8.05
MYR,2024-01-06 23:56,280.00,6.00,6.90
MYR,2024-01-07 00:56,280.00,5.00,5.75
MYR,2024-01-07 01:13,250.00,4.00,4.60
MYR,2024-01-07 01:56,240.00,3.00,3.45
MYR,2024-01-07 02:56,260.00,4.00,4.60
MYR,2024-01-07 03:56,240.00,4.00,4.60
MYR,2024-01-07 04:56,250.00,7.00,8.05
MYR,2024-01-07 05:56,260.00,9.00,10.35
MYR,2024-01-07 06:56,270.00,10.00,11.50
MYR,2024-01-07 07:56,260.00,13.00,14.95
MYR,2024-01-07 08:56,270.00,11.00,12.65
MYR,2024-01-07 09:09,260.00,12.00,13.80
MYR,2024-01-07 09:56,280.00,11.00,12.65
MYR,2024-01-07 10:56,290.00,14.00,16.10
MYR,2024-01-07 11:56,260.00,13.00,14.95
MYR,2024-01-07 12:56,280.00,14.00,16.10
MYR,2024-01-07 13:56,290.00,12.00,13.80
MYR,2024-01-07 14:56,290.00,15.00,17.25
MYR,2024-01-07 15:56,270.00,11.00,12.65
MYR,2024-01-07 16:56,290.00,8.00,9.20
MYR,2024-01-07 17:56,300.00,9.00,10.35
MYR,2024-01-07 18:56,280.00,10.00,11.50
MYR,2024-01-07 19:56,270.00,7.00,8.05
