,Year,Month,Day,Extent 10^6 sq km,Miassing 10^6 sq km,Source Data,datetime,jday
0,1978,10,26,10.231,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.26/nt_19781026_n07_v1.1_n.bin'],1978-10-26,299
1,1978,10,28,10.42,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.28/nt_19781028_n07_v1.1_n.bin'],1978-10-28,301
2,1978,10,30,10.557,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.30/nt_19781030_n07_v1.1_n.bin'],1978-10-30,303
3,1978,11,1,10.67,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.01/nt_19781101_n07_v1.1_n.bin'],1978-11-01,305
4,1978,11,3,10.777,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.03/nt_19781103_n07_v1.1_n.bin'],1978-11-03,307
5,1978,11,5,10.968,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.05/nt_19781105_n07_v1.1_n.bin'],1978-11-05,309
6,1978,11,7,11.08,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.07/nt_19781107_n07_v1.1_n.bin'],1978-11-07,311
7,1978,11,9,11.189,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.09/nt_19781109_n07_v1.1_n.bin'],1978-11-09,313
8,1978,11,11,11.314,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.11/nt_19781111_n07_v1.1_n.bin'],1978-11-11,315
9,1978,11,13,11.46,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.13/nt_19781113_n07_v1.1_n.bin'],1978-11-13,317
10,1978,11,15,11.539,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.15/nt_19781115_n07_v1.1_n.bin'],1978-11-15,319
11,1978,11,17,11.696,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.17/nt_19781117_n07_v1.1_n.bin'],1978-11-17,321
12,1978,11,19,11.87,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.19/nt_19781119_n07_v1.1_n.bin'],1978-11-19,323
13,1978,11,21,12.053,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.21/nt_19781121_n07_v1.1_n.bin'],1978-11-21,325
14,1978,11,23,12.274,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.23/nt_19781123_n07_v1.1_n.bin'],1978-11-23,327
15,1978,11,25,12.441,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.25/nt_19781125_n07_v1.1_n.bin'],1978-11-25,329
16,1978,11,27,12.662,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.27/nt_19781127_n07_v1.1_n.bin'],1978-11-27,331
17,1978,11,29,12.684,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.29/nt_19781129_n07_v1.1_n.bin'],1978-11-29,333
18,1978,12,1,12.725,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.01/nt_19781201_n07_v1.1_n.bin'],1978-12-01,335
19,1978,12,3,12.66,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.03/nt_19781203_n07_v1.1_n.bin'],1978-12-03,337
20,1978,12,5,12.785,0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.05/nt_19781205_n07_v1.1_n.bin'],1978-12-05,339
